Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ner,11080,0,180.0,268.9555078970666,130.96049999876413,4548.730100003013,284.6303249097473,30.724998134813656,0.0,180,280,330,350,400,580,1100,1100,1300,4100,4500
,Aggregated,11080,0,180.0,268.9555078970666,130.96049999876413,4548.730100003013,284.6303249097473,30.724998134813656,0.0,180,280,330,350,400,580,1100,1100,1300,4100,4500
