Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ner,18513,0,240.0,268.50954507636305,133.32170000649057,4261.37110000127,287.213255550154,22.009844576947472,0.0,240,260,300,380,460,480,490,500,690,4200,4300
,Aggregated,18513,0,240.0,268.50954507636305,133.32170000649057,4261.37110000127,287.213255550154,22.009844576947472,0.0,240,260,300,380,460,480,490,500,690,4200,4300
