Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ner,14637,0,170.0,231.01379454808452,134.29409999662312,4681.061499999487,285.6610644257703,24.38754909908743,0.0,170,230,300,320,360,390,550,840,1300,1400,4700
,Aggregated,14637,0,170.0,231.01379454808452,134.29409999662312,4681.061499999487,285.6610644257703,24.38754909908743,0.0,170,230,300,320,360,390,550,840,1300,1400,4700
