Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ner,8637,0,170.0,241.81075993973164,134.78349999786587,5089.744999997492,288.6090077573231,26.12882096426094,0.0,170,250,310,330,370,480,650,980,1300,5100,5100
,Aggregated,8637,0,170.0,241.81075993973164,134.78349999786587,5089.744999997492,288.6090077573231,26.12882096426094,0.0,170,250,310,330,370,480,650,980,1300,5100,5100
