Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ner,5380,0,330.0,278.22937063194973,134.3884999951115,4748.537000006763,283.3221189591078,17.903346845977925,0.0,330,350,360,360,370,380,390,450,2000,4700,4700
,Aggregated,5380,0,330.0,278.22937063194973,134.3884999951115,4748.537000006763,283.3221189591078,17.903346845977925,0.0,330,350,360,360,370,380,390,450,2000,4700,4700
