Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/ner,12755,0,170.0,223.1162404233431,133.62510000297334,5308.382400005939,287.50584084672676,20.219660026604263,0.0,170,190,280,340,360,370,400,500,1900,4500,5300
,Aggregated,12755,0,170.0,223.1162404233431,133.62510000297334,5308.382400005939,287.50584084672676,20.219660026604263,0.0,170,190,280,340,360,370,400,500,1900,4500,5300
